timestamp,price,market_cap,total_volume
2022-05-08 03:00:00,35573.31019883488,678702448510.6605,19130720394.98043
2022-05-09 03:00:00,34070.31219757961,648514321641.9902,30810576501.52256
2022-05-10 03:00:00,30269.58695662948,576197842487.6378,58369928594.32748
2022-05-11 03:00:00,31026.93386836242,590644412746.6844,54071363210.08785
2022-05-12 03:00:00,28913.48836365432,549294001873.1765,65985702701.50493
2022-05-13 03:00:00,29126.11597686014,555266177876.6213,61338080283.57989
2022-05-14 03:00:00,29310.728959858257,558053182541.2809,71541696924.39926
2022-05-15 03:00:00,30189.333177005963,573777699744.01,25759546763.688618
2022-05-16 03:00:00,31319.30911113,596346266888.6597,22948123704.172672
2022-05-17 03:00:00,29923.606993639707,569801943005.2971,28418179221.125336
2022-05-18 03:00:00,30502.19328027689,581272773175.8237,24964703223.57502
2022-05-19 03:00:00,28772.200501112577,547927169401.2031,26219431165.241817
2022-05-20 03:00:00,30382.40624219559,578678245847.8763,29190056577.430664
2022-05-21 03:00:00,29256.81337441625,557201657280.7389,25980877919.56809
2022-05-22 03:00:00,29491.5079477606,561696351558.8424,13561006428.368963
2022-05-23 03:00:00,30351.050417138096,578090387085.146,17199930154.801018
2022-05-24 03:00:00,29163.167775739188,555459414424.212,26646754324.71057
2022-05-25 03:00:00,29655.02613175249,564885248021.9939,23486436836.56051
2022-05-26 03:00:00,29584.949851985926,563577022957.9133,23108764916.2066
2022-05-27 03:00:00,29346.781442431617,559066076343.6685,31972044691.709656
2022-05-28 03:00:00,28646.65218193245,545752899521.8662,31756305901.00553
2022-05-29 03:00:00,29088.236452817226,554938694217.2793,15406515372.711676
2022-05-30 03:00:00,29492.50321495364,561771345708.952,14496111397.934437
2022-05-31 03:00:00,31740.94072516695,604926607440.7722,34891305294.623
2022-06-01 03:00:00,31865.749621173167,607393396318.7885,29770567353.488136
2022-06-02 03:00:00,29833.45033020525,569001624438.0176,35553330791.53566
2022-06-03 03:00:00,30481.013996026013,580863150152.0535,24232399986.261147
2022-06-04 03:00:00,29714.143487149733,566275595800.1772,21997859590.66833
2022-06-05 03:00:00,29872.3603087139,568340135127.331,12911383481.843807
2022-06-06 03:00:00,29917.7640524562,570209935092.4275,13395229055.412352
2022-06-07 03:00:00,31372.5847629755,597966736176.5532,27644798123.298183
2022-06-08 03:00:00,31265.469277693348,597205650752.5386,36111325508.04181
2022-06-09 03:00:00,30229.236836130374,576238781341.3682,27080284928.564884
2022-06-10 03:00:00,30101.187521431468,573819802894.6453,18871591862.340336
2022-06-11 03:00:00,29101.2982596468,554622874799.0432,25663085729.428837
2022-06-12 03:00:00,28374.14499732395,540789214973.6274,22518366769.83909
2022-06-13 03:00:00,26767.269173221317,514202090511.0678,29834061115.62461
2022-06-14 03:00:00,22525.7683503912,429492202561.014,64852526179.38284
2022-06-15 03:00:00,22244.848968001315,423044474596.5387,47639470967.89143
2022-06-16 03:00:00,22529.198114649807,429887916884.8431,52027211446.51121
2022-06-17 03:00:00,20408.690490591813,389181727345.5773,27449277945.59262
2022-06-18 03:00:00,20473.05288079512,391441740414.39136,24232922585.24016
2022-06-19 03:00:00,19047.41782828195,362303884192.0101,38920632524.1614
2022-06-20 03:00:00,20516.41197977524,390555374756.5322,32488136325.883087
2022-06-21 03:00:00,20636.75891240637,392793374515.9921,28346447996.779846
2022-06-22 03:00:00,20700.923933039136,395059669321.2376,25340643362.789
2022-06-23 03:00:00,19983.566482863105,381616262301.266,24955466738.11085
2022-06-24 03:00:00,21100.270533511088,402495826231.4205,23655104386.97852
2022-06-25 03:00:00,21262.71348295613,407086114490.3726,21955656695.74872
2022-06-26 03:00:00,21525.88036221139,410110791491.0548,16152442749.306295
2022-06-27 03:00:00,21052.80539783573,401645800330.4072,15392697878.417652
2022-06-28 03:00:00,20751.47753079077,395914576106.05786,17719011287.9831
2022-06-29 03:00:00,20282.54247926969,386606940573.39575,18161209601.432373
2022-06-30 03:00:00,20108.529472889782,384067866465.5609,20744333507.35517
2022-07-01 03:00:00,19608.397493423083,365984224323.4528,22816515394.911003
2022-07-02 03:00:00,19407.447430262477,370916529918.7163,28756781114.699898
2022-07-03 03:00:00,19268.227002666128,367706689137.568,15601715000.679424
2022-07-04 03:00:00,19310.233218521837,368549364135.05225,13976969844.33244
2022-07-05 03:00:00,20257.01232859288,386425176262.7784,18634860046.37241
2022-07-06 03:00:00,20188.779663973284,385301783065.72974,23623270105.54542
2022-07-07 03:00:00,20566.68722377,392479833070.6018,21755499642.28282
2022-07-08 03:00:00,21660.596837075183,414055638573.8548,21927087503.43376
2022-07-09 03:00:00,21858.818749217564,417690286504.50726,46645398900.96298
2022-07-10 03:00:00,21589.628101459668,412459838738.2113,26211587451.783283
2022-07-11 03:00:00,20859.81407965063,398249545888.6735,25037950754.00336
2022-07-12 03:00:00,19998.46783957584,382000290322.39886,21319467248.801025
2022-07-13 03:00:00,19350.73735007727,370191767290.5106,22074971578.2899
2022-07-14 03:00:00,20225.23866433186,385462566548.9708,28560004360.90292
2022-07-15 03:00:00,20574.84059150044,393104346702.71136,28732413536.669937
2022-07-16 03:00:00,20794.811981436706,397285233065.6553,46542248374.33238
2022-07-17 03:00:00,21193.08334336837,404705642580.8908,42051101694.797554
2022-07-18 03:00:00,20824.36275165164,397660610560.5498,29615794461.49923
2022-07-19 03:00:00,22395.365383103952,425756736660.6174,58636734705.48306
2022-07-20 03:00:00,23366.90769792785,445889013251.1064,57338223361.51413
2022-07-21 03:00:00,23313.296731959555,446130012149.9108,40775718993.79776
2022-07-22 03:00:00,23155.207555248304,442379611364.02734,63224249257.51128
2022-07-23 03:00:00,22696.90275429005,433485926857.3929,40304373301.41499
2022-07-24 03:00:00,22506.199573628983,429803379587.5513,42519262113.1533
2022-07-25 03:00:00,22613.71920824845,433819662321.5266,33108916659.05373
2022-07-26 03:00:00,21330.295450788173,407480099599.8142,42667548128.93224
2022-07-27 03:00:00,21235.61231608577,405692421501.5272,53995620035.18145
2022-07-28 03:00:00,22908.884260468687,437193517021.8447,54498281944.45157
2022-07-29 03:00:00,23822.06759782312,454806622614.75885,55609627980.6571
2022-07-30 03:00:00,23847.58331873861,459609388579.5554,41089335195.63975
2022-07-31 03:00:00,23653.4595494308,451726702392.36206,62102072346.807785
2022-08-01 03:00:00,23379.70052509082,447051019373.1847,31786729326.443203
2022-08-02 03:00:00,23333.749243312184,445958949620.3002,44489771146.510735
